"method","route","flow","mode","authorization","file","line"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources/[sourceId]/download","commercial_evidence.download_source","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources/[sourceId]/download/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources/[sourceId]/retry","commercial_evidence.retry_extraction","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources/[sourceId]/retry/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources/[sourceId]","commercial_evidence.read_source","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources/[sourceId]/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources","commercial_evidence.add_text, commercial_evidence.add_source","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/sources/route.ts","14"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial-exposure","commercial_exposure.project","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial-exposure/route.ts","9"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/cycles/[cycleId]","delivery_cycles.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/cycles/[cycleId]/route.ts","15"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/cycles","delivery_cycles.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/cycles/route.ts","14"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/cycles","delivery_cycles.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/cycles/route.ts","28"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/dependencies/[dependencyId]","work_dependencies.remove","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/dependencies/[dependencyId]/route.ts","13"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/dependencies","work_dependencies.list_project","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/dependencies/route.ts","9"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/defects/[defectId]","delivery_defects.update_status","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/defects/[defectId]/route.ts","15"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/defects","delivery_defects.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/defects/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/github/install","engineering_repositories.connect","Human handoff","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/github/install/route.ts","11"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/links/[linkId]","engineering_evidence.unlink","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/links/[linkId]/route.ts","13"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/links","engineering_evidence.link","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/links/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/readiness","qa_verification.readiness","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/readiness/route.ts","11"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/repositories/[repositoryId]/reconcile","engineering_repositories.reconcile","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/repositories/[repositoryId]/reconcile/route.ts","13"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/repositories/[repositoryId]","engineering_repositories.disconnect","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/repositories/[repositoryId]/route.ts","13"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering","engineering_evidence.overview","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/trace/[workItemId]","engineering_evidence.trace","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/trace/[workItemId]/route.ts","13"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/verifications","qa_verification.record","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/engineering/verifications/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/labels","project_labels.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/labels/route.ts","11"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/labels","project_labels.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/labels/route.ts","21"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/members/[userId]","project_members.remove","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/members/[userId]/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/members","project_members.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/members/route.ts","11"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/members","project_members.add","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/members/route.ts","21"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/mentionable-members","project_members.mentionable","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/mentionable-members/route.ts","9"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/milestones/[milestoneId]","project_milestones.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/milestones/[milestoneId]/route.ts","15"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/milestones","project_milestones.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/milestones/route.ts","11"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/milestones","project_milestones.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/milestones/route.ts","21"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes/[noteId]","project_notes.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes/[noteId]/route.ts","11"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes/[noteId]","project_notes.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes/[noteId]/route.ts","21"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes","project_notes.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes/route.ts","12"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes","project_notes.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/notes/route.ts","28"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]","project_lifecycle.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/route.ts","11"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]","project_lifecycle.update","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/route.ts","21"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/activity","project_activity.work_item","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/activity/route.ts","15"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]/history","work_discussion.history","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]/history/route.ts","14"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]","work_discussion.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]/route.ts","20"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]","work_discussion.edit","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]/route.ts","32"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]","work_discussion.delete","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/[commentId]/route.ts","55"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments","work_discussion.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/route.ts","16"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments","work_discussion.post","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/comments/route.ts","39"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial/links/[linkId]","work_commercial_basis.unlink","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial/links/[linkId]/route.ts","14"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial/links","work_commercial_basis.link","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial/links/route.ts","15"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial","work_commercial_basis.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial/route.ts","18"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial","work_commercial_basis.classify","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/commercial/route.ts","35"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/dependencies","work_dependencies.add","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/dependencies/route.ts","15"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/reorder","delivery_work.reorder","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/reorder/route.ts","15"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]","delivery_work.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/route.ts","15"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]","delivery_work.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/route.ts","27"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/subscription","work_subscription.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/subscription/route.ts","15"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/subscription","work_subscription.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/[workItemId]/subscription/route.ts","27"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items","delivery_work.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/route.ts","14"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items","delivery_work.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/work-items/route.ts","28"
"GET","/api/v1/workspaces/[workspaceId]/projects","project_lifecycle.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/route.ts","12"
"POST","/api/v1/workspaces/[workspaceId]/projects","project_lifecycle.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/route.ts","35"
"PATCH","/api/v1/workspaces/[workspaceId]","workspace_settings.update","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/route.ts","8"
"PATCH","/api/v1/workspaces/[workspaceId]/time-entries/[entryId]","time_tracking.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/time-entries/[entryId]/route.ts","9"
"DELETE","/api/v1/workspaces/[workspaceId]/time-entries/[entryId]","time_tracking.void","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/time-entries/[entryId]/route.ts","20"
"GET","/api/v1/workspaces/[workspaceId]/time-entries","time_tracking.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/time-entries/route.ts","12"
"POST","/api/v1/workspaces/[workspaceId]/time-entries","time_tracking.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/time-entries/route.ts","26"
"GET","/api/v1/workspaces","workspace_setup.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/route.ts","6"
"POST","/api/v1/workspaces","workspace_setup.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/route.ts","14"
